publisher,size,closed,oa
Ulyanovsk State Pedagogical University,1,0,1
The National and University Library of Iceland,1,0,1
The Korean Society of Radiology,1,0,1
"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences",1,0,1
CAIRN,5786,5418,368
C.N.R.S. Editions,5,5,0
EMS Editions,126,126,0
ERES,139,138,1
Association Internationale de management strategique (AIMS),22,0,22
Éditions Perrin,8,8,0
American Institute of Mathematical Sciences (AIMS),242,1,241
The Econometric Society,4,0,4
Accademia University Press,20,3,17
Alpara,6,6,0
Collège de France,34,20,14
Publicações do Cidehus,3,3,0
Centre Jacques-Berque,10,9,1
Éditions du Comité des travaux historiques et scientifiques,27,0,27
Demopolis,41,39,2
Éditions de l’École des hautes études en sciences sociales,16,14,2
Éditions de la Maison des sciences de l’homme,32,24,8
Éditions Rue d’Ulm,7,7,0
ENS Éditions,23,12,11
Presses de l’Ifpo,5,3,2
Éditions de l’IHEAL,22,16,6
IRD Éditions,25,18,7
Publications scientifiques du Muséum,20,20,0
MOM Éditions,31,0,31
Presses de l’enssib,16,15,1
Presses de l’Inalco,5,0,5
Presses Universitaires de Bordeaux,18,18,0
Presses universitaires François-Rabelais,27,0,27
Presses universitaires de Provence,1,0,1
Presses universitaires de Perpignan,2,2,0
Presses universitaires de Rennes,92,57,35
Presses universitaires de Strasbourg,32,32,0
Presses de l’Université Saint-Louis,6,0,6
Presses de l’Université Toulouse 1 Capitole,42,32,10
Trace (Travaux et Recherches dans les Ameriques du Centre),52,0,52
University of Michigan Library,2,0,2
Universidad Castilla la Mancha,1,0,1
Revista Latinoamericana de Investigacion en Matematica Educativa (RELIME),3,0,3
Wroclaw Medical University,1,0,1
Global Research & Development Services,2,0,2
Antiquity Publications,20,5,15
Laser Institute of America,1,0,1
Institut za Savremenu Istoriju,3,0,3
The Journal of Rheumatology,20,11,9
Finnish Academy of Science and Letters,4,0,4
International Association for Sharing Knowledge and Sustainability,2,0,2
John Wiley & Sons Ltd,23,15,8
The Angle Orthodontist (EH Angle Education & Research Foundation),1,0,1
International Ocean Discovery Program,5,0,5
AACE Corp (American Association of Clinical Endocrinologists),1,1,0
CISP Journal Services,1,0,1
University of Primorska Press,4,0,4
Universidade do Sul de Santa Catarina - UNISUL,1,0,1
Wageningen Academic Publishers,21,14,7
University of Ottawa Library,1,0,1
Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,6,0,6
American Society of Mechanical Engineers,204,157,47
Society of Exploration Geophysicists,30,18,12
"ZappyLab, Inc.",31,30,1
Puspa Publishing House,5,0,5
South African Medical Association NPC,2,0,2
Emerald Publishing Limited,15,13,2
"Pro Reitoria de Pesquisa, Pos Graduacao e Inovacao - UFF",3,0,3
International Association of Online Engineering (IAOE),3,0,3
White Rose University Press,3,0,3
Herald Scholarly Open Access,21,0,21
"Biomedical Research Network, LLC",16,0,16
Athens Institute for Education and Research ATINER,4,0,4
Leibniz-Institute for Psychology Information (ZPID),3,0,3
Vilnius University Press,3,0,3
Copenhagen Business School,1,0,1
Fundació Scito,27,23,4
Medip Academy,6,0,6
Peer Community In,13,0,13
Institucio Alfons el Magnanim,8,0,8
Croatian Geological Survey,1,0,1
Universidad Complutense de Madrid (UCM),19,0,19
"Parenteral Drug Association, Inc.",4,3,1
Egypts Presidential Specialized Council for Education and Scientific Research,9,0,9
Institute of Navigation,6,2,4
Iris Publishers LLC,4,0,4
